query,case,system,run,seconds,rows,min_votes,note
q1_shortest_path,q1_distanza_1,postgresql,1,0.002181,1,10000,
q1_shortest_path,q1_distanza_1,neo4j,1,0.000931,1,10000,
q1_shortest_path,q1_distanza_1,postgresql,2,0.001889,1,10000,
q1_shortest_path,q1_distanza_1,neo4j,2,0.000805,1,10000,
q1_shortest_path,q1_distanza_1,postgresql,3,0.002012,1,10000,
q1_shortest_path,q1_distanza_1,neo4j,3,0.000857,1,10000,
q1_shortest_path,q1_distanza_1,postgresql,4,0.001878,1,10000,
q1_shortest_path,q1_distanza_1,neo4j,4,0.000685,1,10000,
q1_shortest_path,q1_distanza_1,postgresql,5,0.001692,1,10000,
q1_shortest_path,q1_distanza_1,neo4j,5,0.000757,1,10000,
q1_shortest_path,q1_distanza_1,postgresql,6,0.001802,1,10000,
q1_shortest_path,q1_distanza_1,neo4j,6,0.000708,1,10000,
q1_shortest_path,q1_distanza_1,postgresql,7,0.001658,1,10000,
q1_shortest_path,q1_distanza_1,neo4j,7,0.000734,1,10000,
q1_shortest_path,q1_distanza_1,postgresql,8,0.001802,1,10000,
q1_shortest_path,q1_distanza_1,neo4j,8,0.000690,1,10000,
q1_shortest_path,q1_distanza_1,postgresql,9,0.001692,1,10000,
q1_shortest_path,q1_distanza_1,neo4j,9,0.001430,1,10000,
q1_shortest_path,q1_distanza_1,postgresql,10,0.001726,1,10000,
q1_shortest_path,q1_distanza_1,neo4j,10,0.000749,1,10000,
q1_shortest_path,q1_distanza_2,postgresql,1,0.245060,1,10000,
q1_shortest_path,q1_distanza_2,neo4j,1,0.002372,1,10000,
q1_shortest_path,q1_distanza_2,postgresql,2,0.242015,1,10000,
q1_shortest_path,q1_distanza_2,neo4j,2,0.001268,1,10000,
q1_shortest_path,q1_distanza_2,postgresql,3,0.245408,1,10000,
q1_shortest_path,q1_distanza_2,neo4j,3,0.002127,1,10000,
q1_shortest_path,q1_distanza_2,postgresql,4,0.244165,1,10000,
q1_shortest_path,q1_distanza_2,neo4j,4,0.001447,1,10000,
q1_shortest_path,q1_distanza_2,postgresql,5,0.243207,1,10000,
q1_shortest_path,q1_distanza_2,neo4j,5,0.001819,1,10000,
q1_shortest_path,q1_distanza_2,postgresql,6,0.242952,1,10000,
q1_shortest_path,q1_distanza_2,neo4j,6,0.001406,1,10000,
q1_shortest_path,q1_distanza_2,postgresql,7,0.249870,1,10000,
q1_shortest_path,q1_distanza_2,neo4j,7,0.002379,1,10000,
q1_shortest_path,q1_distanza_2,postgresql,8,0.245491,1,10000,
q1_shortest_path,q1_distanza_2,neo4j,8,0.001670,1,10000,
q1_shortest_path,q1_distanza_2,postgresql,9,0.244437,1,10000,
q1_shortest_path,q1_distanza_2,neo4j,9,0.003166,1,10000,
q1_shortest_path,q1_distanza_2,postgresql,10,0.241757,1,10000,
q1_shortest_path,q1_distanza_2,neo4j,10,0.001477,1,10000,
q1_shortest_path,q1_distanza_3,postgresql,1,9.919830,1,10000,
q1_shortest_path,q1_distanza_3,neo4j,1,0.002733,1,10000,
q1_shortest_path,q1_distanza_3,postgresql,2,0.230877,1,10000,
q1_shortest_path,q1_distanza_3,neo4j,2,0.001557,1,10000,
q1_shortest_path,q1_distanza_3,postgresql,3,0.230287,1,10000,
q1_shortest_path,q1_distanza_3,neo4j,3,0.002298,1,10000,
q1_shortest_path,q1_distanza_3,postgresql,4,0.235946,1,10000,
q1_shortest_path,q1_distanza_3,neo4j,4,0.001598,1,10000,
q1_shortest_path,q1_distanza_3,postgresql,5,0.230250,1,10000,
q1_shortest_path,q1_distanza_3,neo4j,5,0.001836,1,10000,
q1_shortest_path,q1_distanza_3,postgresql,6,0.249042,1,10000,
q1_shortest_path,q1_distanza_3,neo4j,6,0.001501,1,10000,
q1_shortest_path,q1_distanza_3,postgresql,7,0.228718,1,10000,
q1_shortest_path,q1_distanza_3,neo4j,7,0.002312,1,10000,
q1_shortest_path,q1_distanza_3,postgresql,8,0.231791,1,10000,
q1_shortest_path,q1_distanza_3,neo4j,8,0.001232,1,10000,
q1_shortest_path,q1_distanza_3,postgresql,9,0.231481,1,10000,
q1_shortest_path,q1_distanza_3,neo4j,9,0.002895,1,10000,
q1_shortest_path,q1_distanza_3,postgresql,10,0.233637,1,10000,
q1_shortest_path,q1_distanza_3,neo4j,10,0.001379,1,10000,
q1_shortest_path,q1_distanza_4,postgresql,1,0.608466,1,10000,
q1_shortest_path,q1_distanza_4,neo4j,1,0.002538,1,10000,
q1_shortest_path,q1_distanza_4,postgresql,2,0.610205,1,10000,
q1_shortest_path,q1_distanza_4,neo4j,2,0.001683,1,10000,
q1_shortest_path,q1_distanza_4,postgresql,3,0.611202,1,10000,
q1_shortest_path,q1_distanza_4,neo4j,3,0.002262,1,10000,
q1_shortest_path,q1_distanza_4,postgresql,4,0.609608,1,10000,
q1_shortest_path,q1_distanza_4,neo4j,4,0.001468,1,10000,
q1_shortest_path,q1_distanza_4,postgresql,5,0.614877,1,10000,
q1_shortest_path,q1_distanza_4,neo4j,5,0.002259,1,10000,
q1_shortest_path,q1_distanza_4,postgresql,6,0.607022,1,10000,
q1_shortest_path,q1_distanza_4,neo4j,6,0.001402,1,10000,
q1_shortest_path,q1_distanza_4,postgresql,7,0.613802,1,10000,
q1_shortest_path,q1_distanza_4,neo4j,7,0.002467,1,10000,
q1_shortest_path,q1_distanza_4,postgresql,8,0.617252,1,10000,
q1_shortest_path,q1_distanza_4,neo4j,8,0.001643,1,10000,
q1_shortest_path,q1_distanza_4,postgresql,9,0.609999,1,10000,
q1_shortest_path,q1_distanza_4,neo4j,9,0.002865,1,10000,
q1_shortest_path,q1_distanza_4,postgresql,10,0.614782,1,10000,
q1_shortest_path,q1_distanza_4,neo4j,10,0.001249,1,10000,
q2_most_connected,q2_most_connected,postgresql,1,0.752010,10,10000,
q2_most_connected,q2_most_connected,neo4j,1,0.176262,10,10000,
q2_most_connected,q2_most_connected,postgresql,2,0.746690,10,10000,
q2_most_connected,q2_most_connected,neo4j,2,0.204820,10,10000,
q2_most_connected,q2_most_connected,postgresql,3,0.739850,10,10000,
q2_most_connected,q2_most_connected,neo4j,3,0.186542,10,10000,
q2_most_connected,q2_most_connected,postgresql,4,0.751636,10,10000,
q2_most_connected,q2_most_connected,neo4j,4,0.190806,10,10000,
q2_most_connected,q2_most_connected,postgresql,5,0.735086,10,10000,
q2_most_connected,q2_most_connected,neo4j,5,0.204646,10,10000,
q2_most_connected,q2_most_connected,postgresql,6,0.740588,10,10000,
q2_most_connected,q2_most_connected,neo4j,6,0.202893,10,10000,
q2_most_connected,q2_most_connected,postgresql,7,0.736630,10,10000,
q2_most_connected,q2_most_connected,neo4j,7,0.191232,10,10000,
q2_most_connected,q2_most_connected,postgresql,8,0.741949,10,10000,
q2_most_connected,q2_most_connected,neo4j,8,0.188835,10,10000,
q2_most_connected,q2_most_connected,postgresql,9,0.753753,10,10000,
q2_most_connected,q2_most_connected,neo4j,9,0.204276,10,10000,
q2_most_connected,q2_most_connected,postgresql,10,0.747684,10,10000,
q2_most_connected,q2_most_connected,neo4j,10,0.204460,10,10000,
q3_genre_by_decade,q3_genre_by_decade,postgresql,1,0.003692,10,10000,
q3_genre_by_decade,q3_genre_by_decade,neo4j,1,0.007355,10,10000,
q3_genre_by_decade,q3_genre_by_decade,postgresql,2,0.003559,10,10000,
q3_genre_by_decade,q3_genre_by_decade,neo4j,2,0.006852,10,10000,
q3_genre_by_decade,q3_genre_by_decade,postgresql,3,0.003381,10,10000,
q3_genre_by_decade,q3_genre_by_decade,neo4j,3,0.007303,10,10000,
q3_genre_by_decade,q3_genre_by_decade,postgresql,4,0.003487,10,10000,
q3_genre_by_decade,q3_genre_by_decade,neo4j,4,0.006664,10,10000,
q3_genre_by_decade,q3_genre_by_decade,postgresql,5,0.003345,10,10000,
q3_genre_by_decade,q3_genre_by_decade,neo4j,5,0.007617,10,10000,
q3_genre_by_decade,q3_genre_by_decade,postgresql,6,0.003535,10,10000,
q3_genre_by_decade,q3_genre_by_decade,neo4j,6,0.007129,10,10000,
q3_genre_by_decade,q3_genre_by_decade,postgresql,7,0.003292,10,10000,
q3_genre_by_decade,q3_genre_by_decade,neo4j,7,0.007369,10,10000,
q3_genre_by_decade,q3_genre_by_decade,postgresql,8,0.003335,10,10000,
q3_genre_by_decade,q3_genre_by_decade,neo4j,8,0.006840,10,10000,
q3_genre_by_decade,q3_genre_by_decade,postgresql,9,0.003266,10,10000,
q3_genre_by_decade,q3_genre_by_decade,neo4j,9,0.007235,10,10000,
q3_genre_by_decade,q3_genre_by_decade,postgresql,10,0.003453,10,10000,
q3_genre_by_decade,q3_genre_by_decade,neo4j,10,0.007194,10,10000,
q4_recommendations,q4_recommendations,postgresql,1,0.001707,10,10000,
q4_recommendations,q4_recommendations,neo4j,1,0.001704,10,10000,
q4_recommendations,q4_recommendations,postgresql,2,0.001610,10,10000,
q4_recommendations,q4_recommendations,neo4j,2,0.001346,10,10000,
q4_recommendations,q4_recommendations,postgresql,3,0.001464,10,10000,
q4_recommendations,q4_recommendations,neo4j,3,0.001561,10,10000,
q4_recommendations,q4_recommendations,postgresql,4,0.001476,10,10000,
q4_recommendations,q4_recommendations,neo4j,4,0.001137,10,10000,
q4_recommendations,q4_recommendations,postgresql,5,0.001419,10,10000,
q4_recommendations,q4_recommendations,neo4j,5,0.001326,10,10000,
q4_recommendations,q4_recommendations,postgresql,6,0.001449,10,10000,
q4_recommendations,q4_recommendations,neo4j,6,0.001072,10,10000,
q4_recommendations,q4_recommendations,postgresql,7,0.001492,10,10000,
q4_recommendations,q4_recommendations,neo4j,7,0.001875,10,10000,
q4_recommendations,q4_recommendations,postgresql,8,0.001401,10,10000,
q4_recommendations,q4_recommendations,neo4j,8,0.001721,10,10000,
q4_recommendations,q4_recommendations,postgresql,9,0.001427,10,10000,
q4_recommendations,q4_recommendations,neo4j,9,0.001784,10,10000,
q4_recommendations,q4_recommendations,postgresql,10,0.001444,10,10000,
q4_recommendations,q4_recommendations,neo4j,10,0.001505,10,10000,
q1_shortest_path,q1_distanza_1,postgresql,1,0.001734,1,1000,
q1_shortest_path,q1_distanza_1,neo4j,1,0.001228,1,1000,
q1_shortest_path,q1_distanza_1,postgresql,2,0.001081,1,1000,
q1_shortest_path,q1_distanza_1,neo4j,2,0.000835,1,1000,
q1_shortest_path,q1_distanza_1,postgresql,3,0.000662,1,1000,
q1_shortest_path,q1_distanza_1,neo4j,3,0.000829,1,1000,
q1_shortest_path,q1_distanza_1,postgresql,4,0.000693,1,1000,
q1_shortest_path,q1_distanza_1,neo4j,4,0.000628,1,1000,
q1_shortest_path,q1_distanza_1,postgresql,5,0.000632,1,1000,
q1_shortest_path,q1_distanza_1,neo4j,5,0.000642,1,1000,
q1_shortest_path,q1_distanza_1,postgresql,6,0.000651,1,1000,
q1_shortest_path,q1_distanza_1,neo4j,6,0.000685,1,1000,
q1_shortest_path,q1_distanza_1,postgresql,7,0.000637,1,1000,
q1_shortest_path,q1_distanza_1,neo4j,7,0.000577,1,1000,
q1_shortest_path,q1_distanza_1,postgresql,8,0.000569,1,1000,
q1_shortest_path,q1_distanza_1,neo4j,8,0.000560,1,1000,
q1_shortest_path,q1_distanza_1,postgresql,9,0.000568,1,1000,
q1_shortest_path,q1_distanza_1,neo4j,9,0.000638,1,1000,
q1_shortest_path,q1_distanza_1,postgresql,10,0.000665,1,1000,
q1_shortest_path,q1_distanza_1,neo4j,10,0.000573,1,1000,
q1_shortest_path,q1_distanza_2,postgresql,1,0.027872,1,1000,
q1_shortest_path,q1_distanza_2,neo4j,1,0.001199,1,1000,
q1_shortest_path,q1_distanza_2,postgresql,2,0.027950,1,1000,
q1_shortest_path,q1_distanza_2,neo4j,2,0.000705,1,1000,
q1_shortest_path,q1_distanza_2,postgresql,3,0.027532,1,1000,
q1_shortest_path,q1_distanza_2,neo4j,3,0.001667,1,1000,
q1_shortest_path,q1_distanza_2,postgresql,4,0.027493,1,1000,
q1_shortest_path,q1_distanza_2,neo4j,4,0.000934,1,1000,
q1_shortest_path,q1_distanza_2,postgresql,5,0.027270,1,1000,
q1_shortest_path,q1_distanza_2,neo4j,5,0.001453,1,1000,
q1_shortest_path,q1_distanza_2,postgresql,6,0.028576,1,1000,
q1_shortest_path,q1_distanza_2,neo4j,6,0.001108,1,1000,
q1_shortest_path,q1_distanza_2,postgresql,7,0.027464,1,1000,
q1_shortest_path,q1_distanza_2,neo4j,7,0.002059,1,1000,
q1_shortest_path,q1_distanza_2,postgresql,8,0.027191,1,1000,
q1_shortest_path,q1_distanza_2,neo4j,8,0.001454,1,1000,
q1_shortest_path,q1_distanza_2,postgresql,9,0.027157,1,1000,
q1_shortest_path,q1_distanza_2,neo4j,9,0.001857,1,1000,
q1_shortest_path,q1_distanza_2,postgresql,10,0.027639,1,1000,
q1_shortest_path,q1_distanza_2,neo4j,10,0.001277,1,1000,
